arrival_date,state,district,market,commodity,variety,grade,min_price,max_price,modal_price,fetched_at
2026-08-07,Maharashtra,Nashik,AGRICULTURE PRODUCE MARKET COMITEE CHANDWAD,Onion,Unhali,Local,300.0,2785.0,2180.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Solapur,Akluj APMC,Onion,Red,Local,500.0,3100.0,2000.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Akola,Akola APMC,Onion,Other,Local,1000.0,2600.0,1600.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Amarawati,Amrawati(Frui & Veg. Market) APMC,Onion,Local,Local,1000.0,3700.0,2350.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Jalgaon,Bhusaval APMC,Onion,Unhali,Local,1600.0,2200.0,1800.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Chandrapur,Chandrapur(Ganjwad) APMC,Onion,Other,Local,2800.0,4000.0,3000.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Devala APMC,Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,2150.0,2590.0,2165.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Devala APMC,Maize,Yellow,Non-FAQ,2255.0,2255.0,2255.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Devala APMC,Onion,Unhali,Local,700.0,2700.0,2250.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Devala APMC,Wheat,Maharashtra 2189,FAQ,2665.0,2675.0,2675.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Dharashiv,Dharashiv APMC,Onion,Red,Local,1000.0,2800.0,1900.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Dhule,Dhule APMC,Onion,Red,Local,500.0,2200.0,1900.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Beed,Gevrai APMC,Onion,Red,Local,1700.0,2550.0,1750.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Ghoti APMC,Brinjal,Other,Local,1800.0,2000.0,1900.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Ghoti APMC,Cabbage,Other,Local,900.0,900.0,900.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Ghoti APMC,Cauliflower,Other,Local,1400.0,1800.0,1600.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Ghoti APMC,Cucumbar(Kheera),Other,Local,1600.0,1800.0,1700.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Ghoti APMC,Tomato,Other,Local,2000.0,2000.0,2000.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Pune,Indapur APMC,Onion,Red,Local,500.0,3200.0,1400.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Pune,Junnar(Alephata) APMC,Onion,Chinchwad,Local,1200.0,2810.0,2300.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Pune,Junnar(Narayangaon) APMC,Onion,Chinchwad,Local,700.0,2800.0,1800.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Kalvan APMC,Onion,Unhali,Local,900.0,2755.0,2150.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nagpur,Kamthi APMC,Onion,Local,Local,3060.0,3560.0,3310.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Kolhapur,Kolhapur APMC,Onion,Other,Local,700.0,2700.0,1900.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Ahilyanagar,Kopargaon APMC,Onion,Unhali,Local,500.0,2402.0,2115.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Lasalgaon APMC,Maize,Other,Non-FAQ,2000.0,2391.0,2251.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,Local,700.0,2711.0,2200.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Lasalgaon APMC,Soyabean,Other,Local,4000.0,7011.0,6951.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Lasalgaon APMC,Wheat,Maharashtra 2189,FAQ,2585.0,2866.0,2700.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Lasalgaon(Niphad) APMC,Onion,Unhali,Local,800.0,2500.0,2150.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Lasalgaon(Niphad) APMC,Soyabean,Other,Local,6000.0,6999.0,6990.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Lasalgaon(Niphad) APMC,Wheat,Maharashtra 2189,FAQ,2672.0,2721.0,2696.0,2026-08-07T20:46:46+05:30
2026-08-07,Maharashtra,Nashik,Lasalgaon(Vinchur) APMC,Onion,Unhali,Local,600.0,2525.0,2150.0,2026-08-07T20:46:46+05:30
